filename,klasse_fußauftritt
2_Joggen,Fersenlauf
1_Laufen,Fersenlauf
3_Gehen,Fersenlauf
10_Gehen,Fersenlauf
3_Joggen,Fersenlauf
3_Laufen,Fersenlauf
2_Laufen,Fersenlauf
1_Joggen,Fersenlauf
4_Laufen,Fersenlauf
7_Joggen,Fersenlauf
5_Laufen,Fersenlauf
6_Joggen,Fersenlauf
10_Joggen,Fersenlauf
5_Joggen,Fersenlauf
6_Laufen,Fersenlauf
10_Laufen,Fersenlauf
4_Joggen,Fersenlauf
7_Laufen,Fersenlauf
6_Gehen,Fersenlauf
9_Joggen,Fersenlauf
8_Joggen,Fersenlauf
8_Laufen,Fersenlauf
9_Laufen,Fersenlauf
8_Gehen,Fersenlauf
5_Gehen,Fersenlauf
9_Gehen,Fersenlauf
4_Gehen,Fersenlauf
7_Gehen,Fersenlauf
1_Gehen,Fersenlauf
2_Gehen,Fersenlauf
