filename,klasse_fussstellung
2_Joggen,Supination
1_Laufen,Neutral
3_Gehen,Pronation
10_Gehen,Neutral
3_Joggen,Neutral
3_Laufen,Supination
2_Laufen,Neutral
1_Joggen,Neutral
4_Laufen,Neutral
7_Joggen,Neutral
5_Laufen,Pronation
6_Joggen,Supination
10_Joggen,Pronation
5_Joggen,Pronation
6_Laufen,Supination
10_Laufen,Neutral
4_Joggen,Supination
7_Laufen,Pronation
6_Gehen,Neutral
9_Joggen,Neutral
8_Joggen,Supination
8_Laufen,Pronation
9_Laufen,Supination
8_Gehen,Neutral
5_Gehen,Pronation
9_Gehen,Pronation
4_Gehen,Pronation
7_Gehen,Neutral
1_Gehen,Pronation
2_Gehen,Neutral
